,NAM_C1,NAM_C2,P.value
TP53,118,118,0.719417340360511
TTN,102,122,0.0306647902044574
MUC16,90,104,0.117717742217531
CSMD3,90,95,0.458085904113741
RYR2,84,94,0.224424281990038
LRP1B,78,81,0.630344243656808
USH2A,75,79,0.560290541812993
ZFHX4,66,84,0.0503155769995328
KRAS,70,65,0.84023757401495
FLG,53,72,0.0300235513583737
SPTA1,55,69,0.0976930408155243
XIRP2,67,51,0.170105124736246
NAV3,45,53,0.310080318311306
ZNF536,38,60,0.00926158294677885
ANK2,44,51,0.361400149664606
CSMD1,41,54,0.109866342986821
FAT3,46,49,0.64825457537328
COL11A1,42,52,0.20748648625091
MUC17,41,50,0.246095208772348
PCDH15,45,46,0.816695174160538
ADAMTS12,39,51,0.129753348806492
KEAP1,29,59,0.000242390982247791
PCLO,38,49,0.156616499778823
RYR3,41,46,0.479196902740231
APOB,40,46,0.406937095640105
TNR,41,45,0.553699367352683
PAPPA2,42,43,0.81194908490016
CDH10,40,43,0.631035015696958
DNAH9,44,39,0.718793935780218
RP1L1,43,39,0.80937934363292
PTPRD,38,42,0.54249788055374
SI,35,44,0.220552325149129
LRRC7,39,38,1
STK11,20,57,1.75300329925836e-06
ADGRG4,40,36,0.803431837855219
RYR1,37,38,0.802741750300772
ZNF804A,32,43,0.133277887693792
HMCN1,28,46,0.0165635063763765
PCDH11X,34,40,0.379171786102671
DMD,35,38,0.61353307647125
ERICH3,34,39,0.448604096652515
NPAP1,37,36,1
FAT4,25,47,0.00328488186262684
FBN2,28,44,0.0303217879580327
ABCA13,30,41,0.124904114841185
NRXN1,32,39,0.306819923127032
PXDNL,37,34,0.898114920286322
ASTN1,29,41,0.0944342595242905
OBSCN,32,38,0.368613679695274
RELN,30,40,0.157297118577462
FAM135B,31,38,0.301296807491109
MXRA5,29,40,0.120605982294482
AHNAK2,31,37,0.3630534784626
CACNA1E,28,40,0.0906201925117961
CSMD2,31,36,0.432968221532919
ASXL3,27,38,0.111791039160374
FLG2,32,33,0.791436646175953
NALCN,31,34,0.596811955334113
VCAN,35,30,0.690013952773274
PEG3,29,35,0.351321874873748
ASPM,26,37,0.107276891510822
CNTNAP2,29,34,0.421507294827042
LRP2,35,28,0.500386027749114
RIMS2,37,26,0.224648449161005
DNAH5,24,38,0.042428019020703
BRINP3,23,38,0.0292289020343742
PKHD1,23,38,0.0292289020343742
PRUNE2,34,27,0.494409250792917
TNN,26,35,0.17419163289245
SYNE2,28,32,0.494557537826604
ADGRL3,31,28,0.889784044150249
CNTNAP5,29,30,0.783321880045117
COL6A3,31,28,0.889784044150249
EGFR,41,18,0.00329693793183348
SORCS1,34,25,0.331530548072038
SSPO,30,29,1
HRNR,30,28,1
TSHZ3,29,29,0.889888308357596
ADGRB3,29,28,1
DNAH8,28,29,0.780343227571108
MYH2,26,31,0.402501651852924
MYH8,28,29,0.780343227571108
NEB,28,29,0.780343227571108
PCDH10,31,26,0.672972379122474
PKHD1L1,23,34,0.0933342781138576
COL12A1,24,32,0.205490514056614
EPHA5,22,34,0.0669167671827988
HERC2,26,30,0.482348072108247
LAMA2,26,30,0.482348072108247
MYH1,29,27,1
SNTG1,27,29,0.673480426758518
AHNAK,27,28,0.777209259117813
ANKRD30A,25,30,0.395620647390056
PRDM9,24,31,0.257078247431712
CUBN,17,37,0.00360136739125915
NLRP3,24,30,0.387100804331539
SYNE1,23,31,0.248494823739489
TG,27,27,1
TLR4,29,25,0.668826996531651
AFF2,29,24,0.565110761050029
CPS1,29,24,0.565110761050029
CTNNA2,21,32,0.109075482933694
DST,24,29,0.467549877320179
HYDIN,25,28,0.663055920027451
NF1,33,20,0.0832700368824074
