"","NAM_C1","NAM_C2","P.value"
"TTN",102,122,0.0306647902044574
"FLG",53,72,0.0300235513583737
"ZNF536",38,60,0.00926158294677885
"KEAP1",29,59,0.000242390982247791
"STK11",20,57,1.75300329925836e-06
"HMCN1",28,46,0.0165635063763765
"FAT4",25,47,0.00328488186262684
"FBN2",28,44,0.0303217879580327
"DNAH5",24,38,0.042428019020703
"BRINP3",23,38,0.0292289020343742
"PKHD1",23,38,0.0292289020343742
"EGFR",41,18,0.00329693793183348
"CUBN",17,37,0.00360136739125915
"DNAH11",17,32,0.0231667470662939
"PCDH17",15,30,0.0182139662228408
"CDH7",12,30,0.00328870624474205
"ATM",13,27,0.0200777325693493
"DSCAM",12,28,0.00769524638660542
"GRM8",11,27,0.00631245762757799
"NLRP5",12,24,0.0368490010231011
"PCDHB8",11,24,0.0217205866896643
"BRWD3",11,23,0.0320146377550498
"SRCAP",11,23,0.0320146377550498
"DIDO1",11,22,0.0465824139228408
"KIAA1549L",10,23,0.0182609516045942
"PCDH18",11,22,0.0465824139228408
"ACAN",10,22,0.0273409851456084
"SETD2",25,7,0.0015839041811237
"ZEB1",10,22,0.0273409851456084
"FLNA",9,22,0.0150126765385895
"DCAF12L2",8,22,0.00763798449061431
"KCNH1",8,22,0.00763798449061431
"CD163",7,22,0.00355776068790036
"RGS7",7,21,0.00578149717685837
"CR1",8,19,0.0285944691355394
"EGFLAM",7,20,0.0092876056265772
"OR2T4",8,19,0.0285944691355394
"ATP2B3",7,19,0.0147393286229889
"COL21A1",8,18,0.043234803111199
"TECTA",8,18,0.043234803111199
"THOC2",4,22,0.000176853230836102
"ADCY10",6,19,0.00688082078006175
"DPP10",7,18,0.023090921059078
"CARD11",7,17,0.0356810740433013
"KCNC2",7,17,0.0356810740433013
"PCDHB9",7,17,0.0356810740433013
"SPATA31A3",7,17,0.0356810740433013
"CHD7",4,19,0.00102060915011901
"A2ML1",5,17,0.00805938912859873
"CACNA2D4",6,16,0.0284540868118418
"CLCA4",4,18,0.00179779171313373
"COBL",6,16,0.0284540868118418
"LVRN",6,16,0.0284540868118418
"NCAM2",6,16,0.0284540868118418
"OR5W2",6,16,0.0284540868118418
"ARHGAP32",5,16,0.0133077913226485
"CAD",6,15,0.0444202125910068
"CPXM2",5,16,0.0133077913226485
"HSPG2",6,15,0.0444202125910068
"JMJD1C",6,15,0.0444202125910068
"KCNJ3",5,16,0.0133077913226485
"LRP4",6,15,0.0444202125910068
"SETX",5,16,0.0133077913226485
"TRPV6",6,15,0.0444202125910068
"LILRB2",5,15,0.0216868639904416
"MORC1",4,16,0.00540905589845516
"COL2A1",5,14,0.0348436704713191
"DSP",5,14,0.0348436704713191
"IFT172",5,14,0.0348436704713191
"MGAT5B",4,15,0.00922501366195864
"MPPED2",5,14,0.0348436704713191
"OR11H12",5,14,0.0348436704713191
"OR4S2",5,14,0.0348436704713191
"TDRD6",5,14,0.0348436704713191
"ZFC3H1",5,14,0.0348436704713191
"ADCY5",4,14,0.0155380263288012
"DLG2",4,14,0.0155380263288012
"OR4N5",4,14,0.0155380263288012
"OR5T1",4,14,0.0155380263288012
"PGBD1",4,14,0.0155380263288012
"ALDH1L1",3,14,0.00581908592441168
"CCER1",4,13,0.0258191564244087
"GPR179",4,13,0.0258191564244087
"IMPG1",4,13,0.0258191564244087
"MAATS1",4,13,0.0258191564244087
"MYOCD",14,3,0.0115237482117753
"SGCZ",3,14,0.00581908592441168
"SLC5A12",2,15,0.000919614822420351
"SP140",4,13,0.0258191564244087
"SYCP2",4,13,0.0258191564244087
"ADGRG7",2,14,0.00171794913578653
"ARMC5",3,13,0.0101894164957426
"ATP1A2",4,12,0.0422730565701542
"CT47B1",4,12,0.0422730565701542
"IRS1",4,12,0.0422730565701542
"LHX8",4,12,0.0422730565701542
"MTR",4,12,0.0422730565701542
"OR10K1",4,12,0.0422730565701542
"OR2L3",14,2,0.00371882775598215
"PTCH1",3,13,0.0101894164957426
"RBM19",4,12,0.0422730565701542
"SCAF8",4,12,0.0422730565701542
"SLC12A2",4,12,0.0422730565701542
"WDR66",4,12,0.0422730565701542
"ARHGEF17",2,13,0.00318129435201606
"ATOH1",3,12,0.0176218533218298
"CFHR5",3,12,0.0176218533218298
"ILDR2",3,12,0.0176218533218298
"NR5A2",3,12,0.0176218533218298
"PLXND1",1,14,0.000355796797389347
"SIGLEC8",3,12,0.0176218533218298
"TTBK1",3,12,0.0176218533218298
"XKR7",2,13,0.00318129435201606
"ZCCHC12",12,3,0.0329221563272378
"AIM1L",3,11,0.0300618045411848
"C10orf12",3,11,0.0300618045411848
"CACNA1H",3,11,0.0300618045411848
"GPR149",3,11,0.0300618045411848
"ITSN2",3,11,0.0300618045411848
"LRP6",2,12,0.00583499358796425
"MIA3",2,12,0.00583499358796425
"OR4P4",3,11,0.0300618045411848
"PALM2-AKAP2",3,11,0.0300618045411848
"RAPGEF6",3,11,0.0300618045411848
"SGOL2",2,12,0.00583499358796425
"ZKSCAN2",3,11,0.0300618045411848
"ZNF365",3,11,0.0300618045411848
"ZNF677",3,11,0.0300618045411848
"ANO2",2,11,0.0105902085168493
"CUX1",2,11,0.0105902085168493
"DPYSL4",2,11,0.0105902085168493
"GPC4",2,11,0.0105902085168493
"LGR6",11,2,0.0210600779830278
"NEK10",2,11,0.0105902085168493
"PALB2",2,11,0.0105902085168493
