,Freq,Genes
TP53,236,TP53
TTN,224,TTN
MUC16,194,MUC16
CSMD3,185,CSMD3
RYR2,178,RYR2
LRP1B,159,LRP1B
USH2A,154,USH2A
ZFHX4,150,ZFHX4
KRAS,135,KRAS
FLG,125,FLG
SPTA1,124,SPTA1
XIRP2,118,XIRP2
NAV3,98,NAV3
ZNF536,98,ZNF536
ANK2,95,ANK2
CSMD1,95,CSMD1
FAT3,95,FAT3
COL11A1,94,COL11A1
MUC17,91,MUC17
PCDH15,91,PCDH15
ADAMTS12,90,ADAMTS12
KEAP1,88,KEAP1
PCLO,87,PCLO
RYR3,87,RYR3
APOB,86,APOB
TNR,86,TNR
PAPPA2,85,PAPPA2
CDH10,83,CDH10
DNAH9,83,DNAH9
RP1L1,82,RP1L1
PTPRD,80,PTPRD
SI,79,SI
LRRC7,77,LRRC7
STK11,77,STK11
ADGRG4,76,ADGRG4
RYR1,75,RYR1
ZNF804A,75,ZNF804A
HMCN1,74,HMCN1
PCDH11X,74,PCDH11X
DMD,73,DMD
ERICH3,73,ERICH3
NPAP1,73,NPAP1
FAT4,72,FAT4
FBN2,72,FBN2
ABCA13,71,ABCA13
NRXN1,71,NRXN1
PXDNL,71,PXDNL
ASTN1,70,ASTN1
OBSCN,70,OBSCN
RELN,70,RELN
FAM135B,69,FAM135B
MXRA5,69,MXRA5
AHNAK2,68,AHNAK2
CACNA1E,68,CACNA1E
CSMD2,67,CSMD2
ASXL3,65,ASXL3
FLG2,65,FLG2
NALCN,65,NALCN
VCAN,65,VCAN
PEG3,64,PEG3
ASPM,63,ASPM
CNTNAP2,63,CNTNAP2
LRP2,63,LRP2
RIMS2,63,RIMS2
DNAH5,62,DNAH5
BRINP3,61,BRINP3
PKHD1,61,PKHD1
PRUNE2,61,PRUNE2
TNN,61,TNN
SYNE2,60,SYNE2
ADGRL3,59,ADGRL3
CNTNAP5,59,CNTNAP5
COL6A3,59,COL6A3
EGFR,59,EGFR
SORCS1,59,SORCS1
SSPO,59,SSPO
HRNR,58,HRNR
TSHZ3,58,TSHZ3
ADGRB3,57,ADGRB3
DNAH8,57,DNAH8
MYH2,57,MYH2
MYH8,57,MYH8
NEB,57,NEB
PCDH10,57,PCDH10
PKHD1L1,57,PKHD1L1
COL12A1,56,COL12A1
EPHA5,56,EPHA5
HERC2,56,HERC2
LAMA2,56,LAMA2
MYH1,56,MYH1
SNTG1,56,SNTG1
AHNAK,55,AHNAK
ANKRD30A,55,ANKRD30A
PRDM9,55,PRDM9
CUBN,54,CUBN
NLRP3,54,NLRP3
SYNE1,54,SYNE1
TG,54,TG
TLR4,54,TLR4
AFF2,53,AFF2
CPS1,53,CPS1
CTNNA2,53,CTNNA2
DST,53,DST
HYDIN,53,HYDIN
NF1,53,NF1
PLEC,53,PLEC
SPATA31D1,53,SPATA31D1
TENM1,53,TENM1
CDH12,52,CDH12
CDH9,52,CDH9
COL3A1,52,COL3A1
DOCK2,52,DOCK2
LPPR4,52,LPPR4
MYH7,52,MYH7
NCKAP5,52,NCKAP5
SLITRK2,52,SLITRK2
UNC79,52,UNC79
ZNF831,52,ZNF831
ADAMTS20,51,ADAMTS20
CRB1,51,CRB1
FAT1,51,FAT1
MUC5B,51,MUC5B
SVEP1,51,SVEP1
TRPS1,51,TRPS1
COL22A1,50,COL22A1
GRIN2B,50,GRIN2B
LAMA1,50,LAMA1
PTPRT,50,PTPRT
COL5A2,49,COL5A2
DNAH11,49,DNAH11
DNAH3,49,DNAH3
MRC1,49,MRC1
SETBP1,49,SETBP1
TAF1L,49,TAF1L
TIAM1,49,TIAM1
HCN1,48,HCN1
SLC8A1,48,SLC8A1
SPHKAP,48,SPHKAP
ZNF521,48,ZNF521
ZNF804B,48,ZNF804B
ADGRV1,47,ADGRV1
FAM47C,47,FAM47C
GPR158,47,GPR158
GRIN2A,47,GRIN2A
KIAA1109,47,KIAA1109
LYST,47,LYST
TENM3,47,TENM3
TPTE,47,TPTE
ZFPM2,47,ZFPM2
HECW1,46,HECW1
KIF2B,46,KIF2B
LTBP1,46,LTBP1
MACF1,46,MACF1
RGPD4,46,RGPD4
SPATA31A6,46,SPATA31A6
THSD7A,46,THSD7A
