"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NT5E",2.42378666571065,3.47135159749319,32.3217900559433,1.84468425969413e-124,3.40307352228373e-120,266.726263855456
"GALNT10",0.695412474926527,3.61241069383997,9.93981720946273,2.31558043570467e-21,2.13589139389399e-17,37.6801879594548
"MET",1.29685622068148,4.58759385951434,9.68585032464955,1.9102645682313e-20,8.81014018868274e-17,35.6305471203977
"ITGA3",0.890896021896285,5.46225854543636,9.49810111862327,8.88071436941596e-20,2.81662932839182e-16,34.1384417075298
"EPHA2",0.912726775775969,3.87976160694697,9.40950675953979,1.82098129384757e-19,4.79906612984287e-16,33.4413208797794
"AXL",0.692721343650287,3.40811743422316,9.36189278687037,2.67357150682672e-19,6.16525589474242e-16,33.0685303691759
"KCNN4",1.13490223953345,3.59368025945576,9.18908391788471,1.0655278736724e-18,2.18409535705649e-15,31.7266381286437
"ANKRD22",0.941855736179675,3.11618658770763,8.83485083073306,1.71456860798333e-17,2.6358634733397e-14,29.0315439005919
"DCBLD2",0.862777518797575,3.17071834651308,8.8235244511358,1.87148330989886e-17,2.65577877700108e-14,28.9466270725599
"SH3RF2",0.686141951811423,1.24950277873775,8.79624262445445,2.31020151848356e-17,3.04418554378462e-14,28.7424123863165
"LAMC2",1.1212701937888,4.77513094985848,8.78368905125558,2.54489079824135e-17,3.12987636306376e-14,28.6485984365274
"ISM1",0.707895045663085,1.87284198509395,8.64955148267444,7.11198245724346e-17,8.20011577320171e-14,27.6522830150113
"ANXA1",1.01599675187811,5.79179317534212,8.56960071692237,1.30520844880132e-16,1.33769363686038e-13,27.063797476894
"CABYR",-0.919610375743132,1.58311160014174,-8.55384440002448,1.47041279867885e-16,1.42769343736987e-13,26.9482969909796
"ENO3",-0.847315304574598,1.45144864918845,-8.52799347654678,1.78735575430907e-16,1.57014947407113e-13,26.7591392896715
"MT1E",1.02521858035276,4.51567767875846,8.50647985955053,2.10193237275388e-16,1.76256583693471e-13,26.6020420578595
"SEMA3C",0.768841140142759,3.18243189988377,8.49462070313073,2.29813454017783e-16,1.76649941655002e-13,26.5155696782021
"DUSP6",0.836892396509652,5.03539598380742,8.48423355785512,2.48478865375666e-16,1.83357524338012e-13,26.4399042087161
"FLNA",0.720987995065174,6.50793491235811,8.46261129656693,2.92273845459698e-16,2.07379534655404e-13,26.2826168999421
"CX3CL1",1.02169821959168,3.54690572621112,8.35993561780101,6.29200304131436e-16,3.9590220323488e-13,25.5398090537356
"AREG",1.37069151143946,3.87833275477036,8.35684710087519,6.43813209943972e-16,3.9590220323488e-13,25.5175702458395
"ITGA2",0.945442818117457,3.40211302745401,8.3464313102335,6.95610963343085e-16,4.13955840379137e-13,25.4426169689618
"ITGB4",1.02386426754404,4.62597838995963,8.33676888479141,7.4733431854457e-16,4.30838234640945e-13,25.3731477028882
"EMP1",0.659079784802942,3.97582842008989,8.26144730020007,1.30443916900988e-15,7.07773346761595e-13,24.8336888739678
"CD44",0.654857637259004,4.9036570529031,8.21174538302846,1.88005224839942e-15,9.9094868224207e-13,24.4797438502784
"DPYD",0.676721009173971,3.14652081391533,8.14169102079328,3.13851906126747e-15,1.56375957058904e-12,23.9836118385935
"FOXQ1",1.13706481046822,3.04341783284411,8.10652247167076,4.05434903201293e-15,1.9178110498096e-12,23.7357638279828
"CDC42EP1",0.780618430535744,5.35907392818503,8.06818404094927,5.35469239205831e-15,2.40935037191931e-12,23.4665090968273
"PHLDA1",0.69685986259976,3.3512340158964,8.05962762986792,5.69691710214098e-15,2.44410992326272e-12,23.4065497123493
"EFNB2",0.651685667326245,3.39469180438381,8.00925802300997,8.19589002857516e-15,3.35995064993677e-12,23.0545708740989
"HPGD",1.20558336270708,3.41431462475469,7.94125856331336,1.3355785016023e-14,5.02831677501209e-12,22.5820866754921
"FAS",0.599480682875887,2.78099386072404,7.93024973781024,1.44502832007855e-14,5.33157648976181e-12,22.5058854379012
"TNFRSF12A",0.783159927338437,5.26295198559158,7.91014238165389,1.66825719681046e-14,5.91635006773444e-12,22.3669163800604
"GPR87",1.14077870613008,1.8734176464362,7.89015444726683,1.92380804888752e-14,6.45280197925034e-12,22.2290429858231
"TXNIP",0.675900789851058,7.39135717503568,7.86043123436793,2.37679563545998e-14,7.69247822508171e-12,22.0245167310973
"THPO",-0.635707107518498,0.857577621697695,-7.83198410640737,2.9082786300908e-14,9.09354646913815e-12,21.8293319750114
"WNT7B",0.693308688573061,2.79607664430381,7.78992667632557,3.91539232366772e-14,1.18411733749216e-11,21.5417705632546
"ROS1",0.975974428615184,2.82578700381741,7.66928098455958,9.12663298466877e-14,2.59027885078722e-11,20.7235859066711
"TNC",1.10530071002169,4.28722602319704,7.6537332239645,1.01709018617544e-13,2.84292117493402e-11,20.6188735164672
"SLC16A14",-0.990495325725588,2.19285094061886,-7.64542197081924,1.07765646086604e-13,2.96725468508309e-11,20.5629666634556
"SRPX2",0.834067437657529,3.24547342563873,7.64221116011672,1.10199470881943e-13,2.98964682180896e-11,20.5413814660169
"MPZL2",0.715231547562843,4.9846593721993,7.62624654424122,1.23128693846903e-13,3.29199731027197e-11,20.4341626428651
"TGFBI",0.831380084688623,4.74522609796046,7.5453696420031,2.15407115435879e-13,5.16081878644297e-11,19.8937088618785
"HLA-DQB2",1.07418349167039,4.37955010058884,7.52489021999073,2.48000954821257e-13,5.79129318296526e-11,19.757579531349
