"","p.value","HR","Low 95%CI","High 95%CI"
"NT5E",0.0137013649814176,1.12917520415109,1.02520300389179,1.24369187061438
"GALNT10",0.611522674553639,0.95836648282621,0.813323066585469,1.12927611811212
"MET",0.0509697467580577,1.09323646994323,0.999624196516223,1.19561529560728
"ITGA3",0.43605481338442,1.05759269869579,0.918593197781103,1.21762529815857
"EPHA2",0.00546377545965353,1.20462732763454,1.05636885700356,1.37369346782915
"AXL",0.311884433318785,1.0865898988492,0.925052611451495,1.27633563071459
"KCNN4",0.0384624949474576,1.10971840094139,1.00554418073952,1.22468505409901
"ANKRD22",0.249863354131194,1.06660746022182,0.955661625324748,1.19043335428923
"DCBLD2",0.0268034719002079,1.14904447088952,1.01608951840525,1.29939653166976
"SH3RF2",0.270526190928536,1.08846562353721,0.936114603774008,1.26561150616156
"LAMC2",6.75416845128534e-05,1.21762221079169,1.10522874872286,1.3414452437348
"ISM1",0.974520123763673,1.00239042256528,0.865780033319799,1.16055640068043
"ANXA1",0.180617047817998,1.07173919943874,0.9683702206492,1.1861423318486
"CABYR",0.856520076714003,1.00998944542429,0.906821113460629,1.12489515818132
"ENO3",0.0255155748934318,0.862875628040463,0.758125258727486,0.982099383835275
"MT1E",0.803743999382975,0.987583780979086,0.894908241533892,1.08985667936327
"SEMA3C",0.00235299180309534,1.22750765244879,1.075620019543,1.40084324337933
"DUSP6",0.490198321273656,0.957514613170595,0.84642390586655,1.08318565683303
"FLNA",0.535244443177238,1.04507024389371,0.909126139559551,1.20134243989639
"CX3CL1",0.0244861875721187,0.891114309889505,0.805952219757304,0.985275173668448
"AREG",0.0898888385054036,1.0646260950661,0.990299993303414,1.1445306775322
"ITGA2",0.0384311474948273,1.11675831160857,1.00589895453347,1.23983539392905
"ITGB4",0.00167221380787237,1.18626102001582,1.0664041339835,1.3195890401816
"EMP1",0.419923939031308,1.06422218141252,0.914834368176769,1.2380042670102
"CD44",0.951275151157692,0.995384751079246,0.858127171687497,1.15459670241267
"DPYD",0.294505296884271,0.928857488568436,0.809140962918223,1.06628668379117
"FOXQ1",0.178521749897685,1.06111567514917,0.973261736945177,1.15689997182197
"CDC42EP1",0.846533050421241,1.01298838312438,0.888893306082666,1.15440791073918
"PHLDA1",0.239509231694018,1.08943795952873,0.94451915441012,1.25659184583013
"EFNB2",0.0125506278212378,1.20973755876755,1.04175518128268,1.40480699053586
"HPGD",0.921718702762579,1.00404811834866,0.926319251436463,1.08829933351398
"FAS",0.358019241710264,0.928651558128655,0.793054224858508,1.08743348106952
"TNFRSF12A",0.0753599838972951,1.1226100967091,0.988252202990666,1.27523462676776
"GPR87",0.00464850905612626,1.12564079860955,1.03706853030447,1.22177770366086
"TXNIP",0.693474171384393,0.972214226775327,0.845095751789233,1.11845373822218
"THPO",0.93227539169532,0.993284806748716,0.85032735183169,1.16027633968561
"WNT7B",0.26992729848812,1.08400324239975,0.939282743817417,1.25102163035327
"ROS1",0.0314810850523873,0.895427396286939,0.809691923575109,0.990241101184494
"TNC",0.449484915431338,1.03324336147599,0.949281517310278,1.12463144448356
"SLC16A14",0.186380586650515,1.06318631027572,0.970822750130179,1.16433729041283
"SRPX2",0.366532431746991,1.05094162140914,0.943499250902556,1.17061915052241
"MPZL2",0.618989757259083,0.966241849560952,0.843925210573416,1.10628678957061
"TGFBI",0.065649905062039,1.10403872863371,0.993613719983616,1.22673579260081
"HLA-DQB2",0.0160974832404765,0.901355346353483,0.828255491176511,0.980906820485982
"LTBP2",0.288858902602194,0.93342462069528,0.821841144113591,1.0601580716184
"AMIGO2",0.9319730889195,0.995068863416839,0.888301132750161,1.11466934627918
"EHD2",0.270669034970436,1.09218448440722,0.933587646009166,1.27772357858317
"ADAM8",0.975863330165318,1.00211175729771,0.874111794139239,1.14885530757903
"SGPP2",0.569897016654436,1.03605983015909,0.91688797366078,1.17072096319851
"S100A16",0.000658629990694179,1.25691738684062,1.10195873810951,1.43366649104538
"ITGB6",0.797311307492397,0.983935256993888,0.869543124598849,1.11337616567581
"CD109",3.41401926147188e-05,1.30613121601387,1.15114036523842,1.48199021158686
"PHLDA2",0.0399204250253584,1.1431566611474,1.00617983719277,1.29878089743047
"ERO1B",0.000136235920339772,0.74754555266188,0.643749819225637,0.868076909096086
"CBX2",0.0781277160444314,1.13277761215735,0.986063604813515,1.3013208400969
"EREG",0.0325310370809953,1.08799504559325,1.00704120135957,1.17545659267698
"GADD45A",0.0614149492210871,1.15113597854185,0.993290423508114,1.33406505260914
"CST6",0.361513730337526,1.04010453455523,0.955865093043219,1.13176791440111
"CSF2",0.35111395360235,0.929732975145088,0.797714395229706,1.08360010831098
"COL17A1",0.140925727622422,1.06264913434935,0.980077081815363,1.15217792935409
"ALOX5AP",0.0591310203853887,0.895503221166699,0.798521567643298,1.00426344336157
"PLAU",0.122968653010854,1.07388110894527,0.98088985576983,1.17568820736192
"ANXA3",0.742051878806856,1.02498553376483,0.884902069043147,1.18724475982207
"HMGA2",0.000636289222527574,1.24734969869092,1.09877420608352,1.4160154672452
"PMEPA1",0.000972169832168093,1.27033210657473,1.10196808341367,1.46441960097024
"MGLL",0.281861226302132,0.924116357184862,0.800396857267751,1.066959513724
"CCL13",0.0333151202221778,0.900705637815284,0.818007529154568,0.99176427731748
"S100A6",0.113546895647963,1.10609793509962,0.976230720495412,1.25324128440741
"ATP6V1B1",0.65223729793422,0.968420955021632,0.842277965773548,1.11345563369178
"KLK12",0.116930057750969,0.94116553468652,0.872458418898159,1.01528341579928
"COL25A1",0.176217591233794,0.911435081940151,0.796823886239479,1.04253138358052
"MT2A",0.0144836555004507,1.15021294003248,1.0281533283437,1.28676314217592
"IVL",0.239632227213538,1.05626915226447,0.964157197377922,1.15718113712134
"S100A2",0.149735986835034,1.06002065884709,0.979197873017978,1.147514540365
"HES6",0.432773033039616,0.957149081437781,0.857940209902273,1.06783008130781
"AKR1C1",0.880891556005432,1.00437226549892,0.948660934038978,1.06335531643383
"ASPH",0.00251890936551603,1.2168888118883,1.07137853531026,1.38216170260502
"TLR2",0.00154138924368635,0.809122441794792,0.709713263211268,0.922455813850391
"F13A1",0.0642518218089972,0.903271744285619,0.811001272315902,1.00604015292713
"FGL1",0.878549567296859,0.994692538997007,0.929063672471579,1.06495741514054
"SYT12",0.631048781576758,1.0276882390029,0.919292285431769,1.14886541888997
"BMP3",0.0667757392330066,0.901765424451082,0.807386367601581,1.00717687759712
"UCHL1",0.223613443245214,1.04208476361432,0.975146416893704,1.11361805339585
"PDLIM4",0.602393684725731,0.965868536956084,0.84757180344469,1.10067610424296
"CAV2",0.0407674139582783,1.15270688619706,1.00598634937303,1.32082623816342
"CAMK2N1",0.0381504848832999,1.12966411695877,1.00668329986753,1.2676688063785
"PLAT",0.304685170125808,1.04584769017947,0.960049929795792,1.13931302644476
"CCL17",0.0246259772905749,0.883673221075443,0.793320675344045,0.984316161062107
"LAMB3",0.0185528895950261,1.15457510701334,1.02437168741453,1.30132811567587
"HLA-DRB1",0.0129867215022402,0.881814377661911,0.798509603380368,0.973809949635456
"DDIT4",0.00119439231326312,1.22726823468231,1.08427929173054,1.38911379323341
"CDH3",0.144408690939267,1.07397120231469,0.975830861614941,1.18198162076206
"EVA1A",0.044847141298334,0.870679117639388,0.760499552425831,0.996821265016112
"ASCL1",0.201971439072867,0.95120896124961,0.880858424170297,1.02717810619092
"MMP28",0.966772836812178,1.00193420183636,0.914858389619867,1.09729785090191
"CALCA",0.309428070419158,0.969302069232986,0.912742672414447,1.02936624945342
"HLA-DRA",0.00720102957318399,0.869262601974108,0.78482506944638,0.9627845753243
"SMKR1",0.947295178190984,1.00390925396438,0.894240116982616,1.12702815614669
"CLDN1",0.152682530797313,1.07679007141069,0.972961827590647,1.19169819926015
"TACSTD2",0.801816847991191,1.01624135378614,0.896107749526663,1.15248025663275
"AKR1C2",0.362258768085784,1.02286858518951,0.974304325758536,1.07385353313815
"ERRFI1",0.00744415381538548,1.19237996750233,1.04822118906527,1.35636447892137
"COL8A1",0.722274388165062,1.02271394647395,0.903576376801784,1.1575599397745
"KLK14",0.170395745264132,0.926961136569441,0.831707882200047,1.03312348854647
"CD1C",0.0021099284529116,0.812093650572166,0.71117626403006,0.927331423524214
"KLK13",0.0349594385632966,0.862839330251424,0.752285386800546,0.98963999951539
"G0S2",0.027689797027129,1.1169937001276,1.01221981057384,1.23261263323569
"EFEMP1",0.644712864700826,0.971004535613079,0.856852161629765,1.10036462578076
"LY6E",0.979320680427972,1.00145883890455,0.896936010875487,1.11816204707971
"GJB3",6.46221197674708e-08,1.29067266464629,1.17661870866926,1.41578228783154
"CD74",0.0109405110015282,0.873436396419585,0.786982162436401,0.969388094170538
"RDH10",0.411747050887358,0.955114046151118,0.855915814418105,1.06580907349556
"GALNT5",0.578390656795577,0.961475210758345,0.837075127201494,1.10436273980971
"CDA",0.0112474673235399,1.10529095803101,1.0229656437673,1.19424157531433
"CD207",0.0314513542736527,0.902885581867175,0.822643610590007,0.990954483143626
"F2RL1",0.00197585301145807,1.23399767274088,1.08010552407977,1.40981619145709
"KCNK5",0.0111549151356355,0.857953280463162,0.762214521698377,0.965717406980581
"HLA-DPA1",0.0131285157379669,0.87834657976319,0.792773949431215,0.973155985681935
"FOXA1",0.79853757078231,0.982954216565797,0.861384740744224,1.1216811096859
"HMGB3",0.473816790302732,0.961768390378448,0.864462816010207,1.07002686477637
"S100B",0.0419712699907067,0.892022133097463,0.79901137484087,0.995860022761528
"ITGB2",0.242167978123453,0.93173782433311,0.827631199652289,1.04893988247147
"TGFA",0.189424107120446,1.09012932618277,0.958302644166379,1.24009044015261
"STMN3",0.795977504622035,1.01590162919901,0.901391135181094,1.14495925234704
"BRINP1",0.208903604719659,1.07318816975131,0.961233901138976,1.19818167703976
"SYT8",0.0288592393260417,1.13953388576175,1.01356550001966,1.28115792888972
"COL10A1",0.947401113295075,1.00317935251633,0.912896182673004,1.10239130408935
"CD1A",0.0500384222695451,0.899015774856242,0.808214936122806,1.00001785084254
"KRT19",0.0770542736363663,1.12338633287267,0.987449646917695,1.27803666427388
"FCGBP",0.0767678026227219,0.908997818948021,0.81784714469535,1.01030741528119
"PCSK1",0.96016556093141,0.997743227930392,0.913091486340772,1.09024294254501
"MRC1",0.0251421233131529,0.89307835258253,0.808916321451205,0.985996848747769
"AKR7A3",0.526955902465219,0.970155219692634,0.883233769495439,1.0656308474647
"FOLR2",0.0525910281204975,0.891452665897179,0.793666220230688,1.00128723546304
"HLA-DRB5",0.00514333618246002,0.887333463797638,0.816058464852158,0.964833660683561
"EGFR",0.125378413276074,1.09436305782325,0.975167793123469,1.22812762149602
"DPP4",0.0341497104646601,0.912199420021212,0.837843168334204,0.993154582308558
"KIT",0.00490934561632201,0.870441065530681,0.790226321562224,0.95879829346146
"SCEL",0.366873151138001,1.04976003766011,0.944671628408349,1.16653883056156
"HLA-DPB1",0.00572634970997216,0.861143000160197,0.774499425220054,0.957479428101845
"ABCC3",0.859568613293815,1.01050042659502,0.900079670703662,1.13446747591848
"BIRC3",0.00120489278813102,1.22642976961075,1.083883351216,1.38772311439234
"RRAD",0.184009829062971,0.93630622747413,0.84967034270967,1.03177586357912
"BARX1",0.128758835448838,1.05435671020156,0.984752335352429,1.12888086926872
"TFPI",0.418192907682196,1.04820999615378,0.935281847578719,1.17477335723041
"FOSL1",6.88503357365801e-06,1.2446253450241,1.13140770345669,1.36917244309329
"FCER1A",0.0127615325790579,0.870787801105412,0.780947861334599,0.970962892782818
"ODC1",0.581244037548901,0.97372728466161,0.885829523696817,1.0703468325797
"TPSAB1",0.0240111777689983,0.880860961724622,0.788976788321512,0.983445958582796
"FGA",0.0260452350115718,1.055032051771,1.00641310602998,1.10599973668364
"LIPH",0.177133789917417,1.08440969103367,0.96401732682433,1.21983738807014
"FXYD4",0.92238747111319,0.995497552542019,0.909105413287239,1.09009952270962
"IFI44",0.667835939920155,1.02440148971266,0.917589775433962,1.1436465839315
"MMP7",0.565258332360228,1.02216851506044,0.948563794700762,1.10148466451903
"CST2",0.775466011740532,1.01679128394444,0.906856739036086,1.14005274549131
"CPA3",0.00334115301227648,0.864025394707659,0.783667641487514,0.952623080471571
"MGP",0.00156400958690265,0.833450870989144,0.744467671434699,0.933069871273105
"HLA-DQA1",0.0104576251518094,0.87535376947798,0.79054073083172,0.969265961708452
"SERPINA1",0.80722597178825,0.989824698758912,0.911759965204334,1.07457332155794
"HLA-DQB1",0.009181862148854,0.882968666598442,0.804041673989027,0.969643354835947
"DDC",0.818162941295692,1.01160201946344,0.916858285287072,1.11613611634878
"AKR1C3",0.68067094539023,1.01449158301271,0.947306901601537,1.08644112089087
"MMP13",0.717430812440544,1.01471098563694,0.937547171937372,1.0982256842017
"FGFBP1",0.010122706451441,1.10905668474519,1.02492488677385,1.2000945101935
"SYT7",0.675450521474428,0.977356896971855,0.877989111485391,1.08797078638298
"MMP11",0.237643881860654,1.05039830460654,0.968082148012545,1.1397138151813
"KIF1A",0.878421935207879,0.992602983312922,0.902530503759272,1.09166468986682
"IGFBP6",0.265901586546723,1.06163973120641,0.955462327731668,1.17961628225759
"SHISA3",0.844127350648295,1.00754624266061,0.934798803990339,1.08595499562706
"ICAM1",0.243738902192563,0.933572965432388,0.831680185869173,1.04794907537129
"BMP6",0.736478043771343,0.981863525382817,0.882582546048706,1.09231253982216
"PRAME",0.0646644033183578,1.07306753456761,0.99571917900713,1.15642437950345
"MFSD4A",0.0730582384856204,0.912416927385374,0.825404683017563,1.00860180043545
"LDOC1",0.152159567260919,1.08195157350002,0.971373208924527,1.20511786473423
"AIM2",0.936807827971525,1.00433349713195,0.902511548483375,1.11764306523981
"DKK1",1.2797609336096e-09,1.23986718766582,1.1567100664169,1.32900256311619
"CPS1",0.000717046891208042,1.09490169034477,1.03887363210937,1.15395142822685
"SPRR1B",0.009941378920148,1.08567819015869,1.01989940537847,1.15569940169625
"ELN",0.071098476570409,0.907485356336526,0.816687326893225,1.0083781697679
"GPX2",0.0588226071978397,1.04753217792629,0.998270176961371,1.09922512874333
"SOX9",0.0460951007491533,1.10825815270719,1.00178253735957,1.22605065195014
"CPLX2",0.0141256531075685,1.10233890098671,1.01981065067944,1.19154575589009
"FGB",0.185996916716053,1.03106847682878,0.985361170370542,1.07889597832462
"CBR1",0.45417065159565,0.96059445474211,0.864608804142933,1.06723607492753
"TXNRD1",0.00535807501487501,1.14630926338876,1.04126894479002,1.26194575753517
"GJB2",0.000201888195093439,1.17682002430636,1.079993748002,1.28232720992182
"C19orf33",0.0088634719581634,1.138517308289,1.03311658220523,1.2546712380773
"SST",0.188788198279597,0.93471259695517,0.845176172809805,1.03373434677185
"BPIFA2",0.287243617895775,0.945723771836118,0.853352186689776,1.04809417092533
"TNS4",1.27041810860004e-06,1.22474425405576,1.12829628025764,1.32943670389491
"TPSB2",0.0128686111533275,0.878464104304365,0.793196343015236,0.972898059032587
"TCN1",0.000727044771687831,1.1116507280159,1.04545684169814,1.18203573003646
"CXCL14",0.602199120726695,0.984359305870054,0.927705389419453,1.04447301277331
"ITPKA",0.0222220575174481,1.11220845363624,1.01530552219497,1.21836000819304
"FGG",0.43776779594453,1.01885634618688,0.97189871103671,1.06808275633783
"TMPRSS11E",0.000832718697355775,1.14942893489378,1.05927361865421,1.24725741593526
"ORM2",0.262799491748737,0.951145325151949,0.871310153528154,1.03829552071113
"VSIG1",0.530835309244812,1.02358544032751,0.951619242358121,1.10099408147126
"COMP",0.452319300474802,0.968024964774917,0.889365686813667,1.05364120329932
"IFI27",0.75214354196094,1.01455801477903,0.927517499599902,1.10976662520803
"ADGRF1",0.323162914053823,0.954939023059039,0.871467290463397,1.04640592680885
"IL37",0.720307019904095,0.985660797196187,0.910734136307888,1.06675172083479
"VIL1",0.84429124549837,0.990511014046763,0.90061476695262,1.08938039320375
"LYZ",0.206848341524699,0.948725251684849,0.874270922711663,1.02952023200402
"CST1",0.773312466226345,1.00991630281187,0.944334899899157,1.08005214971311
"MUC13",0.120381973273531,1.04973963062213,0.987366790095819,1.1160526190999
"SLC34A2",0.000310002928305892,0.882068798907406,0.823925636453146,0.944315034734568
"AZGP1",0.400670668593983,0.974363163457893,0.917099841663381,1.03520198256903
"HGD",0.0497999638011353,1.08701342374362,1.00007291068879,1.18151203854229
"HOXB9",0.116901951716774,1.07216184831004,0.982728284142425,1.16973434826366
"AQP1",0.248309971366784,0.952813244045115,0.877745779167498,1.03430070479955
"ORM1",0.182281211825478,0.947736864888141,0.875851537712528,1.02552216487951
"CTSE",0.571357624861431,0.983269164442718,0.927471580537169,1.04242358475709
"SCGB3A1",0.00321732044695327,0.930728478733149,0.88732408684778,0.976256042143854
"SLC7A2",0.653364152408386,1.01890879852321,0.938924436315173,1.10570680616467
"SOX2",0.111980360104983,0.932961194948721,0.856445792974264,1.01631253071763
"DNAJC12",0.502104612602156,0.97111581530469,0.891456774541056,1.0578930506422
"HHLA2",0.922647704357481,1.0038044416846,0.929739849899504,1.08376913956593
"KLK11",0.00794913751611672,0.895943354879116,0.826119675877406,0.971668534948641
"MUC21",0.243949729052227,0.960629382154539,0.897868312282574,1.02777745604212
"BPIFA1",0.936071115050763,1.00163664580641,0.962400439675446,1.04247247700827
"VSTM2L",0.783517497179773,1.01162578728465,0.93155457160097,1.09857947639126
"NAPSA",0.000161511139579001,0.902360418496948,0.855459043090251,0.9518332075006
"GSTA1",0.0433343551796749,0.929306237213869,0.86550838554974,0.997806719083451
"GGTLC1",0.000721724311790765,0.860150448501615,0.788223509458142,0.938640861608073
"SCGB1A1",0.0343907976882845,0.95434865082511,0.913914878724726,0.99657130935718
"KRT6A",2.82860415854881e-07,1.15395649802915,1.09257263164633,1.2187890862113
"S100P",0.0065351851604756,1.07334761373086,1.0199684806343,1.12952029575
"AQP5",0.0299481490510519,0.936303965779904,0.882286294019745,0.99362885072264
"MMP1",0.0545709867074595,1.06996195439347,0.998675080432442,1.1463373886868
"NTS",0.000400791129635257,1.12367256426049,1.0534137497896,1.19861738269881
"CEACAM6",0.45962381836967,0.97401202020602,0.90835144274929,1.04441890094257
"CRABP2",0.951137878051161,0.997979872650431,0.935474903533848,1.0646611923559
"MSMB",0.249295309517391,0.970251247993317,0.921660075646324,1.02140421301469
"C16orf89",0.000497039048394344,0.898620263273845,0.846150423943347,0.954343760537335
"PIGR",0.0263504540260383,0.940207992553724,0.890420131454142,0.992779742994197
"TFPI2",0.177061150984335,1.04090827288822,0.982041803661603,1.10330337112664
"TFF3",0.432020146129856,0.97772988869408,0.924316491398206,1.03422988136853
"AKR1B10",0.0749054901547488,1.04957754676445,0.995150821199919,1.10698097534984
